10000 40000
3230 7861 13028
340 6911 1292
341 2154 1293
341 2813 1294
341 9192 1295
341 9612 1296
2154 2512 8567
2154 2682 8568
2154 6286 8569
9192 495 36746
9192 1533 36747
9192 3601 36748
9192 3823 36749
9192 9849 36750
342 2794 1297
342 4665 1298
342 4997 1299
342 7490 1300
342 7844 1301
2794 9822 11230
4665 7378 18723
7490 5372 29972
343 1866 1302
343 1939 1303
343 4180 1304
343 4233 1305
343 7419 1306
343 9942 1307
1866 1025 7379
1866 1644 7380
1866 3632 7381
1866 8767 7382
1866 9267 7383
1939 4938 7677
1939 6996 7678
4180 87 16797
4180 2666 16798
4180 4265 16799
4180 5175 16800
4180 5727 16801
4180 5914 16802
4180 8658 16803
4180 9734 16804
4233 452 17002
4233 3982 17003
7419 3737 29674
7419 9648 29675
9942 47 39742
9942 940 39743
9942 1446 39744
9942 4952 39745
9942 5566 39746
9942 7289 39747
9942 9621 39748
344 3040 1308
344 3242 1309
344 3795 1310
344 6889 1311
3040 138 12267
3040 799 12268
3040 6433 12269
3040 6870 12270
3040 8829 12271
3040 9402 12272
3242 572 13068
3242 3213 13069
3242 5620 13070
3242 5724 13071
3795 3172 15267
3795 4887 15268
3795 8238 15269
6889 2080 27561
6889 3997 27562
6889 6485 27563
345 1912 1312
345 3951 1313
345 4317 1314
345 4456 1315
345 7895 1316
345 7965 1317
1912 1441 7580
1912 5591 7581
1912 5811 7582
3951 2519 15887
3951 6507 15888
4317 984 17325
4317 1267 17326
4317 7367 17327
4317 7412 17328
4456 3136 17885
4456 3286 17886
4456 3424 17887
4456 3908 17888
7895 2345 31601
7895 2379 31602
7895 2440 31603
7895 3215 31604
346 674 1318
346 3990 1319
346 5123 1320
674 2564 2655
674 2910 2656
674 5089 2657
674 6317 2658
3990 1695 16041
3990 3110 16042
3990 5336 16043
3990 6194 16044
3990 6584 16045
3990 7066 16046
3990 8142 16047
3990 9494 16048
5123 1494 20458
5123 2295 20459
1201 2668 4770
1201 4097 4771
1201 5994 4772
1487 6133 5889
1487 9395 5890
4318 1268 17329
4318 6818 17330
348 5281 1325
5281 1497 21097
5281 5773 21098
349 526 1326
349 6066 1327
349 7490 1328
349 9315 1329
526 1352 2048
526 2817 2049
526 4656 2050
526 8552 2051
526 9719 2052
6066 1323 24307
6066 2156 24308
6066 2763 24309
6066 3257 24310
6066 7759 24311
6066 8101 24312
9315 88 37260
9315 1485 37261
9315 3475 37262
9315 3886 37263
9315 8490 37264
350 379 1330
350 598 1331
350 2853 1332
350 3226 1333
350 5048 1334
350 7090 1335
350 7835 1336
350 8865 1337
350 8897 1338
379 1296 1441
379 5263 1442
598 3561 2364
598 4338 2365
598 6073 2366
2853 1754 11494
2853 3042 11495
2853 3670 11496
2853 3791 11497
2853 3842 11498
2853 9456 11499
3226 1057 13012
3226 3816 13013
3226 9249 13014
5048 1181 20146
5048 4945 20147
5048 5775 20148
5048 6821 20149
5048 7177 20150
5048 8420 20151
7090 3254 28326
7090 3568 28327
7090 5464 28328
7090 5926 28329
7090 7397 28330
7090 8356 28331
7835 274 31312
7835 7306 31313
7835 7814 31314
8865 2838 35454
8865 3426 35455
8865 3517 35456
8865 5243 35457
351 3488 1339
351 3848 1340
351 6089 1341
3488 1867 14064
3488 5115 14065
3488 7560 14066
3488 9923 14067
3848 2302 15483
3848 2868 15484
3848 4149 15485
3848 5359 15486
3848 6770 15487
353 2145 1342
353 2580 1343
353 2620 1344
353 5027 1345
353 7397 1346
2145 936 8538
2145 3306 8539
2145 7431 8540
2145 7592 8541
2145 9395 8542
2580 3000 10297
2580 4243 10298
2580 6194 10299
2620 2370 10461
2620 3104 10462
2620 3471 10463
2620 4749 10464
2620 5637 10465
2620 9963 10466
5027 7519 20086
5027 8826 20087
7397 3473 29587
7397 5398 29588
7397 6497 29589
7397 8313 29590
7397 8399 29591
687 5248 2711
687 5905 2712
687 7090 2713
7478 1171 29921
7478 2498 29922
7478 6289 29923
355 1427 1350
355 1575 1351
355 3171 1352
355 5893 1353
355 6901 1354
1427 72 5641
1427 4611 5642
1575 1710 6241
1575 2621 6242
1575 5142 6243
1575 6521 6244
3171 7345 12815
6901 304 27600
6901 4428 27601
6901 9561 27602
356 223 1355
356 637 1356
356 1590 1357
356 1690 1358
356 5235 1359
356 7232 1360
356 9124 1361
637 1290 2525
637 1659 2526
637 2134 2527
637 3181 2528
637 3299 2529
637 7410 2530
1590 703 6309
1590 5553 6310
1590 6211 6311
5235 122 20927
5235 4532 20928
5235 7769 20929
5235 9596 20930
7232 3243 28943
7232 7605 28944
357 1275 1362
357 5620 1363
357 6810 1364
357 8221 1365
357 9532 1366
1275 3682 5052
1275 4313 5053
1275 7049 5054
1275 9739 5055
5620 375 22498
5620 550 22499
5620 1729 22500
5620 3352 22501
5620 4754 22502
5620 4929 22503
5620 5480 22504
6810 3810 27230
6810 5411 27231
6810 6717 27232
8221 1898 32873
8221 2063 32874
8221 5328 32875
9532 6504 38122
9532 8162 38123
358 3437 1367
358 5952 1368
358 7002 1369
358 7319 1370
358 9265 1371
3437 1515 13865
3437 4952 13866
3437 5065 13867
3437 5259 13868
5952 5009 23863
5952 5265 23864
5952 8700 23865
5952 9531 23866
7002 6925 27984
7319 998 29283
7319 1887 29284
7319 5119 29285
7319 5628 29286
7319 7238 29287
7319 8418 29288
9265 1925 37026
9265 2408 37027
9265 6295 37028
9265 8521 37029
9265 8567 37030
359 2609 1372
359 8251 1373
359 9200 1374
359 9810 1375
2609 2130 10415
2609 4935 10416
2609 5453 10417
9200 5461 36768
9200 7052 36769
9200 7304 36770
9200 8135 36771
9200 9649 36772
9810 1796 39208
9810 4108 39209
9810 8796 39210
360 2450 1376
360 7122 1377
360 9917 1378
2450 2874 9810
2450 5568 9811
7122 2233 28450
7122 4778 28451
7122 7167 28452
9917 4458 39638
9917 9426 39639
361 7018 1379
361 7598 1380
7598 3936 30372
7598 3955 30373
7598 4317 30374
7598 8440 30375
362 797 1381
362 5295 1382
362 7091 1383
5295 2492 21149
5295 3016 21150
5295 4560 21151
5295 6979 21152
5295 9072 21153
7091 2773 28332
7091 5822 28333
7091 8078 28334
7091 9211 28335
363 9316 1384
364 255 1385
364 4620 1386
364 5708 1387
4620 1200 18551
4620 1325 18552
5708 7403 22821
5708 8847 22822
365 1294 1388
365 4166 1389
365 5395 1390
4166 230 16750
4166 2851 16751
5395 4173 21561
5395 4730 21562
366 1200 1391
366 1457 1392
366 3627 1393
366 3947 1394
366 5543 1395
366 6271 1396
366 9749 1397
1457 5767 5772
1457 6891 5773
3627 3600 14609
3627 5732 14610
3627 6975 14611
3627 8540 14612
3627 8665 14613
5543 357 22162
5543 3485 22163
5543 6900 22164
6271 2653 25124
6271 4100 25125
9749 1948 38949
9749 2920 38950
9749 3560 38951
9749 3994 38952
9749 4564 38953
9749 6553 38954
367 7553 1398
367 8431 1399
8431 2146 33690
8431 3039 33691
8431 4905 33692
368 1050 1400
368 4896 1401
368 5696 1402
368 6516 1403
1050 1960 4188
1050 2935 4189
1050 3088 4190
1050 5152 4191
1050 5455 4192
1050 9449 4193
4896 139 19591
4896 286 19592
4896 896 19593
4896 897 19594
4896 1887 19595
5696 1034 22781
5696 1335 22782
6516 1749 26107
6516 2903 26108
6516 4171 26109
6516 5349 26110
369 4567 1404
369 9283 1405
369 9454 1406
369 9881 1407
4567 3344 18322
4567 3556 18323
4567 6521 18324
9283 4695 37111
9283 9785 37112
9454 4877 37789
9454 5168 37790
9454 7988 37791
9454 9833 37792
9881 258 39490
9881 365 39491
9881 5787 39492
9881 6995 39493
370 9810 1408
371 4230 1409
371 4884 1410
371 6077 1411
371 6394 1412
371 7535 1413
4230 1306 16987
4230 4814 16988
4230 7951 16989
4884 3003 19558
4884 5469 19559
4884 6060 19560
4884 6385 19561
6394 2430 25618
6394 5474 25619
6394 7597 25620
7535 5508 30147
7535 7749 30148
372 4258 1414
372 6276 1415
372 6379 1416
372 7778 1417
372 9810 1418
6276 1233 25145
6276 3109 25146
6276 5689 25147
6276 5980 25148
6276 6764 25149
6276 7831 25150
6379 1820 25569
6379 6992 25570
6379 7022 25571
6379 7030 25572
6379 7840 25573
7778 1296 31081
7778 3311 31082
7778 4682 31083
373 2692 1419
373 4908 1420
373 5364 1421
373 7750 1422
373 8133 1423
2692 3219 10790
2692 5081 10791
2692 6380 10792
2692 7776 10793
4908 67 19633
4908 4314 19634
4908 7942 19635
7750 350 30957
7750 2829 30958
7750 3350 30959
7750 5634 30960
7750 9113 30961
8133 395 32518
8133 971 32519
8133 3598 32520
8133 5390 32521
8133 6257 32522
8133 7537 32523
8133 7897 32524
374 643 1424
375 4584 1425
4584 3895 18384
4584 5637 18385
4584 5737 18386
4584 6526 18387
4584 7278 18388
4584 7621 18389
4584 8787 18390
4584 9590 18391
376 1523 1426
376 4406 1427
376 5133 1428
376 5972 1429
376 6701 1430
1523 1322 6031
1523 4076 6032
1523 7321 6033
1523 8727 6034
4406 2189 17686
4406 3880 17687
4406 4567 17688
4406 4836 17689
4406 8609 17690
4406 8969 17691
5133 2717 20499
5133 4407 20500
5133 5714 20501
5972 6879 23949
5972 7721 23950
5972 8554 23951
6701 731 26817
6701 1649 26818
6701 3422 26819
6701 9809 26820
377 1760 1431
377 2628 1432
377 4095 1433
377 4410 1434
377 4737 1435
377 5616 1436
377 8480 1437
2628 697 10507
2628 2402 10508
2628 6089 10509
2628 7910 10510
4095 1681 16476
4095 3970 16477
4095 7979 16478
4095 8048 16479
4095 9031 16480
4410 2118 17700
4410 3838 17701
4410 7302 17702
4410 7303 17703
4737 735 19004
4737 4289 19005
4737 8964 19006
8480 4437 33879
8480 6387 33880
8480 8447 33881
8480 9190 33882
5937 2873 23800
5937 6556 23801
5937 7075 23802
5937 8868 23803
7001 1838 27979
7001 4238 27980
7001 4691 27981
7001 6762 27982
7001 8993 27983
7932 218 31743
7932 1800 31744
1296 342 5136
1296 450 5137
1296 2445 5138
1296 6640 5139
1296 7339 5140
1296 8849 5141
1296 9541 5142
5263 2363 21025
5263 4157 21026
5263 7557 21027
380 1743 1443
380 3732 1444
380 6571 1445
380 7453 1446
380 9751 1447
1743 9878 6894
3732 4980 15018
3732 5629 15019
3732 6147 15020
3732 8546 15021
3732 8887 15022
3732 8986 15023
3732 9716 15024
3732 9912 15025
6571 4972 26310
6571 7425 26311
7453 503 29820
7453 7167 29821
7453 8854 29822
9751 714 38957
381 2248 1448
381 4816 1449
381 6006 1450
2248 278 8966
2248 2538 8967
2248 3710 8968
2248 5439 8969
2248 6761 8970
2248 8794 8971
2248 9233 8972
4816 4279 19306
4816 5015 19307
4816 5527 19308
4816 6294 19309
382 1357 1451
382 2673 1452
382 4267 1453
382 5149 1454
382 8018 1455
382 8981 1456
1357 5780 5383
1357 6078 5384
1357 6677 5385
4267 1385 17125
4267 4317 17126
4267 6235 17127
5149 3147 20567
5149 7315 20568
8018 98 32067
8018 3591 32068
8018 5824 32069
8018 6778 32070
383 1464 1457
383 1570 1458
383 1831 1459
383 1865 1460
383 4015 1461
383 7140 1462
383 7795 1463
383 8765 1464
383 9170 1465
1464 956 5802
1464 4489 5803
1464 9482 5804
1570 371 6218
1570 2472 6219
1570 3093 6220
1570 4300 6221
1570 5552 6222
1570 7572 6223
1831 86 7246
1831 1661 7247
1831 7173 7248
1831 7586 7249
1831 7601 7250
4015 427 16146
4015 4220 16147
4015 4894 16148
8765 1842 35064
8765 7831 35065
8765 7870 35066
8765 8978 35067
9170 784 36655
9170 1667 36656
9170 3011 36657
9170 6272 36658
9170 8203 36659
384 1661 1466
384 1985 1467
384 3107 1468
384 7499 1469
3107 875 12543
3107 8423 12544
7499 5088 30003
7499 9318 30004
7499 9348 30005
7499 9462 30006
385 117 1470
385 949 1471
385 5263 1472
385 5631 1473
385 7250 1474
385 9276 1475
385 9720 1476
949 2069 3778
949 7706 3779
949 9981 3780
5631 2279 22537
5631 3280 22538
5631 6503 22539
5631 6635 22540
5631 9487 22541
5631 9723 22542
7250 187 29028
7250 9685 29029
9276 3060 37074
9276 4371 37075
9276 5229 37076
9276 7209 37077
9276 8466 37078
9720 5005 38821
9720 7141 38822
386 2881 1477
386 4942 1478
386 8616 1479
2881 426 11627
2881 960 11628
2881 3954 11629
2881 4047 11630
2881 6568 11631
8616 4596 34433
8616 6469 34434
387 8147 1480
387 8584 1481
387 9182 1482
387 9702 1483
387 9877 1484
8147 5303 32575
8147 7210 32576
8147 8951 32577
8584 3885 34313
9182 4568 36703
9182 4863 36704
9182 4930 36705
9182 5587 36706
9182 7003 36707
9182 8077 36708
9702 4912 38757
9702 6083 38758
9702 6821 38759
9702 7628 38760
9702 7849 38761
9877 4638 39476
9877 4640 39477
9877 6256 39478
9877 8321 39479
388 3879 1485
388 4601 1486
388 4678 1487
388 5301 1488
4601 4148 18458
4601 9228 18459
4678 3763 18771
4678 5240 18772
389 242 1489
389 1170 1490
389 1321 1491
389 1351 1492
389 2456 1493
389 9817 1494
1170 7607 4636
1170 9643 4637
1321 4554 5235
1321 4908 5236
1321 6331 5237
1321 7131 5238
1321 8755 5239
1321 9501 5240
1321 9838 5241
1351 1032 5361
1351 1438 5362
1351 2377 5363
2456 206 9835
2456 1447 9836
2456 1989 9837
2456 4101 9838
2456 8720 9839
9817 1934 39234
9817 3456 39235
9817 7406 39236
9817 7989 39237
390 272 1495
390 325 1496
390 1305 1497
390 4488 1498
390 8352 1499
1305 87 5168
1305 3081 5169
1305 5693 5170
1305 6535 5171
1305 8987 5172
8352 1807 33381
8352 3085 33382
8352 8466 33383
8352 9054 33384
391 3431 1500
391 6353 1501
391 9056 1502
3431 219 13832
3431 805 13833
3431 3704 13834
3431 4091 13835
3431 6471 13836
3431 6777 13837
3431 7842 13838
3431 8878 13839
6353 443 25460
6353 1920 25461
6353 3008 25462
6353 3195 25463
6353 4759 25464
6353 6281 25465
6353 9677 25466
9056 978 36207
9056 7888 36208
538 2327 2092
538 4946 2093
538 4971 2094
538 5887 2095
538 7730 2096
538 8884 2097
4084 2758 16432
4084 3355 16433
4084 5299 16434
4084 6160 16435
6917 6651 27673
6917 7688 27674
6917 8903 27675
7148 167 28571
7148 1019 28572
7148 2203 28573
393 4635 1507
393 4732 1508
393 4851 1509
393 8155 1510
393 8249 1511
4635 4168 18609
4635 9223 18610
4635 9608 18611
4635 9812 18612
4732 97 18974
4732 974 18975
4851 2588 19430
4851 6025 19431
8155 7153 32608
8155 8971 32609
8155 9260 32610
8155 9505 32611
8249 4717 32977
8249 6359 32978
8249 6979 32979
394 239 1512
394 2485 1513
394 7282 1514
394 8599 1515
394 8903 1516
2485 216 9955
2485 2510 9956
2485 5728 9957
7282 7 29141
7282 465 29142
7282 2003 29143
7282 9840 29144
7282 9945 29145
8903 4056 35608
8903 5383 35609
395 2804 1517
395 4456 1518
395 5452 1519
2804 2687 11278
2804 5365 11279
2804 7895 11280
2804 7947 11281
5452 2286 21795
5452 3300 21796
5452 9927 21797
396 1937 1520
396 8966 1521
1937 4844 7670
1937 5633 7671
1937 6340 7672
8966 1442 35854
8966 2018 35855
8966 5230 35856
8966 8311 35857
8966 8764 35858
397 56 1522
397 2000 1523
397 3454 1524
397 3615 1525
397 4191 1526
397 5617 1527
397 6427 1528
397 6955 1529
397 8614 1530
2000 3518 7941
2000 5729 7942
2000 6056 7943
3454 45 13921
3454 4601 13922
3454 5246 13923
3454 6429 13924
3454 7659 13925
3615 3148 14556
3615 5537 14557
3615 7832 14558
3615 9038 14559
3615 9905 14560
5617 248 22480
5617 1566 22481
5617 2260 22482
5617 2649 22483
5617 6615 22484
5617 9775 22485
6427 1648 25730
6427 1892 25731
6427 5391 25732
6427 5417 25733
6427 9311 25734
6427 9918 25735
6955 893 27819
6955 2293 27820
6955 5013 27821
6955 9091 27822
6955 9272 27823
8614 1621 34425
8614 1673 34426
8614 4367 34427
398 187 1531
398 1736 1532
398 2985 1533
398 6707 1534
1736 3110 6861
1736 6269 6862
1736 7256 6863
1736 9261 6864
399 184 1535
399 2241 1536
399 4047 1537
399 4484 1538
399 5152 1539
399 8866 1540
2241 995 8939
2241 2508 8940
2241 4225 8941
2241 4265 8942
4047 1921 16274
4047 2241 16275
4047 6215 16276
4047 6539 16277
4047 8415 16278
4484 1878 17992
4484 2971 17993
4484 3604 17994
4484 4582 17995
4484 4611 17996
4484 6064 17997
4484 8165 17998
5152 1203 20580
5152 5620 20581
5152 5798 20582
5152 5811 20583
5152 6215 20584
5152 7135 20585
8866 1725 35458
8866 7266 35459
8866 7757 35460
8866 8076 35461
8866 9470 35462
400 8884 1541
400 9253 1542
8884 1022 35527
8884 4217 35528
8884 4302 35529
8884 5005 35530
8884 7598 35531
8884 9548 35532
9253 2560 36983
9253 8818 36984
9253 9574 36985
9253 9687 36986
401 107 1543
401 4989 1544
4989 1767 19944
4989 2791 19945
4989 4516 19946
4989 6497 19947
4989 8058 19948
858 679 3415
858 4230 3416
858 6462 3417
858 8608 3418
1184 3178 4697
1184 7184 4698
2326 1050 9287
2326 3335 9288
2326 4887 9289
2326 8578 9290
4238 936 17020
4238 1911 17021
4238 5480 17022
4238 5509 17023
5004 6037 20005
5004 8628 20006
588 2608 2312
588 4499 2313
588 4672 2314
588 5608 2315
588 8736 2316
588 9810 2317
2404 690 9627
2404 2934 9628
2404 5197 9629
2404 5885 9630
2404 6066 9631
2404 6217 9632
2404 7780 9633
2404 8960 9634
4949 1378 19796
4949 1820 19797
4949 4394 19798
8673 1417 34687
8673 6945 34688
8673 9704 34689
9128 3418 36490
9128 5029 36491
9128 8405 36492
9128 9051 36493
9128 9062 36494
9128 9231 36495
404 491 1559
404 1998 1560
404 5526 1561
404 7836 1562
404 9335 1563
404 9623 1564
491 340 1911
491 1254 1912
491 1574 1913
491 4350 1914
491 4491 1915
1998 2515 7930
1998 4135 7931
1998 6350 7932
1998 6532 7933
1998 7858 7934
7836 1365 31315
7836 2860 31316
7836 3982 31317
7836 7671 31318
7836 9088 31319
9335 1522 37349
9335 3108 37350
9335 8771 37351
9623 461 38483
9623 1270 38484
9623 5790 38485
9623 9314 38486
9623 9860 38487
405 204 1565
405 1294 1566
405 2807 1567
405 7457 1568
2807 798 11292
2807 4375 11293
2807 4631 11294
2807 7271 11295
2807 9599 11296
7457 334 29838
7457 1170 29839
7457 1374 29840
7457 8856 29841
7457 9924 29842
407 346 1569
407 1718 1570
407 4489 1571
407 4544 1572
407 5113 1573
407 7473 1574
407 9037 1575
407 9075 1576
407 9163 1577
1718 5648 6789
1718 6396 6790
4544 1849 18234
4544 3993 18235
4544 4661 18236
4544 5741 18237
4544 8976 18238
5113 1073 20420
5113 5524 20421
5113 6762 20422
5113 8344 20423
7473 6181 29908
9037 53 36127
9037 957 36128
9037 2668 36129
9075 1974 36278
9075 4942 36279
9075 8302 36280
9075 9294 36281
9163 2666 36626
9163 4366 36627
9163 5244 36628
408 3563 1578
408 4796 1579
408 5924 1580
408 7190 1581
3563 760 14363
3563 2014 14364
3563 2571 14365
3563 4253 14366
3563 8794 14367
3563 9979 14368
4796 4489 19232
5924 1318 23744
5924 5408 23745
5924 6416 23746
5924 9974 23747
409 929 1582
409 5725 1583
409 5996 1584
929 775 3700
929 2754 3701
929 3569 3702
929 5487 3703
929 5575 3704
929 9212 3705
5725 1308 22884
5725 9785 22885
5996 682 24052
5996 3250 24053
5996 6266 24054
5996 8713 24055
5996 9460 24056
410 3174 1585
410 3681 1586
410 7413 1587
410 9212 1588
3174 5861 12826
3174 6711 12827
3174 8286 12828
3681 4027 14830
3681 8608 14831
7413 723 29649
7413 8794 29650
9212 3141 36809
9212 8149 36810
411 3589 1589
411 3999 1590
411 8168 1591
3589 5023 14464
3589 6578 14465
3589 6680 14466
3589 8552 14467
3999 348 16076
3999 1766 16077
3999 1807 16078
3999 3725 16079
3999 4215 16080
3999 4994 16081
3999 6875 16082
3999 7347 16083
8168 426 32659
8168 3193 32660
8168 7280 32661
1251 2512 4961
1251 4425 4962
1251 5797 4963
2947 483 11908
2947 2898 11909
2947 6146 11910
2947 7706 11911
2947 9103 11912
3640 194 14660
3640 1240 14661
3640 2151 14662
3640 2471 14663
3640 8601 14664
3640 9294 14665
6141 436 24609
6141 2715 24610
6141 9944 24611
6703 2416 26824
6703 6897 26825
6710 1260 26851
6710 3129 26852
7660 1113 30612
7660 8663 30613
7984 3922 31922
7984 4514 31923
7984 6674 31924
7984 9355 31925
413 224 1600
413 468 1601
413 1147 1602
413 4188 1603
468 386 1815
468 3990 1816
468 5130 1817
468 5173 1818
468 5622 1819
468 8457 1820
468 9854 1821
1147 3367 4550
1147 5336 4551
1147 5767 4552
1147 7536 4553
4188 1973 16837
4188 2455 16838
4188 2791 16839
4188 5825 16840
4188 7548 16841
4188 9348 16842
3103 1849 12529
3103 4780 12530
3103 8202 12531
8445 7540 33744
8445 9307 33745
8568 120 34248
8568 9095 34249
415 1387 1607
415 3293 1608
415 3701 1609
415 6106 1610
415 7337 1611
1387 318 5489
1387 9282 5490
3701 7849 14904
3701 8060 14905
3701 8851 14906
3701 9529 14907
3701 9916 14908
7337 469 29352
7337 722 29353
7337 1083 29354
7337 3043 29355
7337 5533 29356
7337 6723 29357
416 2809 1612
416 7314 1613
416 9665 1614
2809 780 11303
2809 2903 11304
2809 4037 11305
2809 6752 11306
2809 6831 11307
2809 7260 11308
2809 8071 11309
7314 3928 29265
7314 4627 29266
9665 134 38625
9665 2900 38626
9665 7012 38627
418 662 1615
418 3005 1616
418 5823 1617
418 6867 1618
418 8459 1619
418 8583 1620
662 2092 2615
662 4127 2616
662 7087 2617
662 8164 2618
662 9746 2619
3005 513 12140
3005 1891 12141
3005 4140 12142
3005 4991 12143
3005 5839 12144
3005 7725 12145
3005 8048 12146
3005 9960 12147
5823 765 23292
5823 3835 23293
5823 4495 23294
6867 2233 27453
6867 2614 27454
6867 4755 27455
6867 7090 27456
6867 7482 27457
6867 8290 27458
6867 9502 27459
8459 869 33800
8459 1692 33801
8459 3417 33802
8459 4614 33803
8459 4856 33804
8583 1630 34308
8583 3362 34309
8583 4377 34310
8583 5144 34311
8583 7463 34312
419 1073 1621
419 3172 1622
419 7125 1623
1073 1442 4264
1073 2211 4265
1073 3556 4266
1073 6142 4267
1073 7100 4268
1073 7278 4269
3172 1071 12816
3172 2050 12817
3172 4864 12818
3172 7587 12819
3172 8107 12820
3172 9318 12821
7125 1014 28464
7125 5022 28465
7125 9413 28466
420 178 1624
420 1171 1625
420 6905 1626
420 9298 1627
1171 1714 4638
1171 2644 4639
1171 4322 4640
1171 4699 4641
1171 8449 4642
6905 114 27614
6905 2688 27615
6905 7116 27616
6905 7892 27617
6905 8286 27618
9298 3975 37173
9298 5967 37174
9298 7638 37175
983 832 3910
983 3923 3911
983 4539 3912
983 7150 3913
983 7965 3914
4733 341 18976
4733 2376 18977
4733 4409 18978
4733 5910 18979
4733 7040 18980
4733 9227 18981
4733 9559 18982
4733 9742 18983
422 365 1631
422 1321 1632
422 8474 1633
8474 613 33853
423 1839 1634
423 1871 1635
423 2066 1636
423 8729 1637
423 9177 1638
1839 1360 7268
1839 4771 7269
1839 4788 7270
1839 6868 7271
1839 9627 7272
1839 9666 7273
1871 2795 7399
1871 7372 7400
1871 9475 7401
2066 240 8197
2066 1518 8198
2066 1703 8199
2066 1734 8200
2066 5228 8201
2066 5818 8202
2066 6946 8203
8729 963 34908
8729 2628 34909
8729 5005 34910
8729 5619 34911
9177 2149 36683
9177 3016 36684
9177 4331 36685
9177 5904 36686
9177 9015 36687
9177 9526 36688
9177 9850 36689
424 1443 1639
424 1472 1640
424 3223 1641
424 9052 1642
424 9221 1643
1443 3609 5704
1443 8910 5705
1472 3161 5829
1472 3586 5830
1472 4556 5831
1472 6324 5832
3223 421 13000
3223 2292 13001
3223 2755 13002
3223 2969 13003
3223 8055 13004
9052 1058 36187
9052 3461 36188
9221 131 36846
9221 814 36847
9221 1136 36848
9221 3512 36849
9221 4066 36850
9221 6752 36851
425 604 1644
425 4819 1645
425 6304 1646
425 7813 1647
425 8819 1648
425 9381 1649
604 1695 2385
604 2949 2386
604 3575 2387
604 9945 2388
4819 3049 19315
4819 3404 19316
4819 4064 19317
4819 7984 19318
4819 9248 19319
6304 1134 25272
6304 2149 25273
6304 4058 25274
6304 5075 25275
6304 7637 25276
6304 9601 25277
7813 893 31228
7813 2183 31229
7813 2210 31230
7813 2467 31231
7813 2590 31232
7813 3992 31233
8819 3906 35272
8819 4433 35273
8819 5913 35274
8819 6681 35275
8819 8930 35276
9381 9329 37512
426 680 1650
426 4543 1651
426 5087 1652
426 6287 1653
680 1390 2685
680 5859 2686
680 7629 2687
4543 1046 18228
4543 2573 18229
4543 3669 18230
4543 5594 18231
4543 5807 18232
4543 9069 18233
5087 47 20302
5087 5138 20303
5087 8865 20304
5087 9746 20305
6287 2697 25196
6287 6641 25197
427 2416 1654
427 5388 1655
427 7742 1656
427 8054 1657
2416 4197 9686
2416 5316 9687
2416 5884 9688
2416 7408 9689
5388 912 21537
5388 1361 21538
5388 4173 21539
5388 6186 21540
7742 4446 30922
7742 8846 30923
8054 4099 32216
8054 4486 32217
8054 5916 32218
428 1003 1658
428 2301 1659
428 2743 1660
428 2786 1661
428 6108 1662
2301 1899 9169
2301 4106 9170
2301 5562 9171
2301 8646 9172
2786 3681 11195
2786 6694 11196
2786 7147 11197
6108 1078 24460
6108 9304 24461
429 271 1663
429 1195 1664
429 2607 1665
429 3427 1666
429 6127 1667
429 7887 1668
429 8617 1669
429 9987 1670
1195 801 4748
1195 5067 4749
1195 8003 4750
3427 2382 13810
3427 6796 13811
3427 7240 13812
3427 8720 13813
6127 9075 24542
6127 9466 24543
8617 3193 34435
8617 5445 34436
8617 7175 34437
8617 7199 34438
8617 7366 34439
8617 8440 34440
9987 286 39941
9987 1428 39942
9987 1544 39943
9987 4353 39944
9987 6212 39945
6297 1189 25237
6297 3815 25238
6297 4289 25239
6297 6272 25240
6297 8009 25241
431 5686 1672
432 1943 1673
432 2387 1674
432 5960 1675
432 6640 1676
432 8606 1677
432 9535 1678
1943 358 7692
1943 4944 7693
1943 6722 7694
1943 7904 7695
1943 7921 7696
2387 1715 9560
2387 3913 9561
2387 6362 9562
2387 6389 9563
2387 6603 9564
2387 6979 9565
5960 2592 23898
5960 3896 23899
5960 4928 23900
6640 994 26565
6640 3487 26566
6640 7111 26567
8606 3962 34399
8606 6331 34400
8606 7819 34401
8606 8486 34402
9535 241 38131
9535 2835 38132
9535 4242 38133
9535 6461 38134
9535 8263 38135
8043 4347 32165
8043 4551 32166
8043 5270 32167
8043 6642 32168
8656 233 34610
8656 1288 34611
8656 2913 34612
8656 4835 34613
8656 6231 34614
8656 9028 34615
8656 9217 34616
435 828 1682
435 1267 1683
435 1356 1684
435 3374 1685
435 8801 1686
828 2597 3285
828 3072 3286
828 3226 3287
828 8234 3288
1267 4407 5028
1356 3475 5380
1356 3964 5381
1356 8690 5382
3374 646 13578
3374 1348 13579
3374 4100 13580
3374 8987 13581
3374 9404 13582
8801 658 35204
8801 2630 35205
8801 4447 35206
8801 8195 35207
436 455 1687
436 5432 1688
436 6606 1689
436 6842 1690
436 9279 1691
455 7576 1769
455 8071 1770
455 8260 1771
455 8961 1772
5432 2127 21714
5432 4529 21715
5432 4721 21716
5432 6966 21717
5432 8705 21718
5432 8904 21719
5432 9239 21720
6606 7705 26446
6842 2314 27351
6842 2903 27352
6842 4018 27353
6842 7235 27354
6842 9109 27355
9279 2212 37087
9279 3699 37088
9279 4477 37089
9279 6714 37090
9279 7453 37091
9279 8556 37092
9279 8928 37093
9279 9408 37094
437 2173 1692
437 5497 1693
2173 811 8648
2173 1837 8649
2173 2152 8650
2173 2323 8651
2173 3780 8652
2173 5945 8653
5497 5966 21976
5497 7362 21977
5497 9716 21978
